Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,0.18466252,0.029386384,10.580382,1.6837157,575,575,90.36188
1,0.0333333333333333,0.18446597,0.013583453,10.569121,0.77827454,575,652,90.36188
2,0.0666666666666666,0.1746914,0.009935722,10.009079,0.5692749,593,661,90.36188
3,0.1,0.15126462,0.023109846,8.666824,1.3240966,630,641,90.52271
4,0.1333333333333333,0.16920075,0.01814252,9.694489,1.0394897,631,638,90.52271
5,0.1666666666666666,0.17770663,0.010267818,10.181839,0.5883026,631,638,90.52271
6,0.2,0.17712313,0.023525834,10.148407,1.3479309,623,629,90.52271
7,0.2333333333333333,0.2083178,0.028444426,11.93573,1.6297455,593,619,90.52271
8,0.2666666666666666,0.19149514,0.02368296,10.971863,1.3569336,585,616,90.52271
9,0.3,0.20149371,-0.008899486,11.544739,-0.50990295,573,638,90.52271
10,0.3333333333333333,0.18493523,-0.0044123256,10.596007,-0.25280762,556,638,90.36188
11,0.3666666666666666,0.18431845,0.0046400256,10.560669,0.26585385,561,652,90.36188
12,0.4,0.22422619,-0.0048365667,12.847214,-0.27711484,532,670,90.36188
13,0.4333333333333333,0.21177858,-0.0070888023,12.134018,-0.40615842,522,684,90.36188
14,0.4666666666666667,0.19952723,-0.038763642,11.432068,-2.220993,521,716,90.36188
15,0.5,0.19949555,-0.033958502,11.430253,-1.9456787,489,748,90.36188
16,0.5333333333333333,0.20583625,-0.03288045,11.793548,-1.883911,489,780,90.36188
17,0.5666666666666667,0.18764475,-0.038373757,10.751251,-2.1986542,504,805,90.36188
18,0.6,0.20906533,-0.009274991,11.97856,-0.53141785,500,798,90.36188
19,0.6333333333333333,0.20919397,-0.00087591365,11.985931,-0.050186154,496,787,90.36188
20,0.6666666666666666,0.20983206,0.00059921126,12.0224905,0.034332275,467,834,90.36188
21,0.7,0.20255685,-0.010696054,11.605652,-0.61283875,475,820,90.36188
22,0.7333333333333333,0.20882912,-0.0035310856,11.965027,-0.20231628,476,805,90.36188
23,0.7666666666666667,0.20355873,-0.016195748,11.663055,-0.92794794,480,804,90.36188
24,0.8,0.1793245,-0.026027609,10.274536,-1.4912721,495,810,90.36188
25,0.8333333333333334,0.18554431,-0.02569418,10.630905,-1.472168,474,849,90.36188
26,0.8666666666666667,0.1840223,-0.03767361,10.543701,-2.1585388,494,859,90.09572
27,0.9,0.17475611,-0.030150445,10.012787,-1.7274932,513,861,90.09572
28,0.9333333333333332,0.18432617,-0.036563605,10.561111,-2.0949402,525,865,87.122765
29,0.9666666666666668,0.19354418,-0.062828496,11.089264,-3.5998075,527,885,90.36188
30,1.0,0.1963879,-0.0666488,11.252197,-3.8186948,520,933,93.57299
31,1.0333333333333334,0.19533809,-0.0589765,11.192047,-3.3791044,518,947,93.57299
32,1.0666666666666669,0.18012823,-0.047958475,10.320587,-2.747818,528,948,90.09572
33,1.1,0.1807743,-0.047731303,10.357604,-2.734802,536,949,90.09572
34,1.1333333333333333,0.1931399,-0.04627269,11.0661,-2.6512299,537,949,90.09572
35,1.1666666666666667,0.19780175,-0.042399123,11.333205,-2.4292908,534,1001,90.09572
36,1.2,0.18645589,-0.008558335,10.683135,-0.49035645,539,966,90.09572
37,1.2333333333333334,0.1893923,-0.011813516,10.851378,-0.67686456,541,942,90.09572
38,1.2666666666666666,0.19182563,-0.012601546,10.990798,-0.7220154,542,924,90.09572
39,1.3,0.19455618,-0.015649535,11.147247,-0.8966522,542,911,90.09572
40,1.3333333333333333,0.19350743,-0.024310933,11.087158,-1.3929138,540,945,90.09572
41,1.3666666666666667,0.19246826,-0.02685505,11.027618,-1.5386809,541,933,90.36188
42,1.4,0.19182591,-0.026318423,10.990814,-1.5079345,541,923,90.36188
43,1.4333333333333331,0.20881207,-0.04475602,11.96405,-2.564331,535,925,90.36188
44,1.4666666666666666,0.21166007,-0.047662597,12.127228,-2.7308655,531,926,87.5087
45,1.5,0.23185268,-0.06239467,13.28418,-3.5749512,528,957,87.5087
46,1.5333333333333334,0.17479286,-0.13071568,10.014893,-7.4894567,540,1002,87.5087
47,1.5666666666666669,0.12368573,-0.13239613,7.08667,-7.585739,569,1042,87.5087
48,1.6,0.0725786,-0.025994051,4.1584473,-1.4893494,610,1024,90.36188
49,1.6333333333333333,0.12258131,-0.028052675,7.0233912,-1.6072998,628,1011,90.09572
