Frame,Time (s),Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),Screen X (px),Screen Y (px),Distance (cm)
0,0.0,-0.26719815,-0.93433976,-15.309325,-53.533722,2559,1439,131.17209
1,0.05,-0.5124763,-0.8683453,-29.362728,-49.752518,2559,1439,131.17209
2,0.1,-0.62767404,-0.897264,-35.96307,-51.40944,2559,1439,131.17209
3,0.15,-0.37715954,-0.89765996,-21.609648,-51.432125,2559,1439,131.17209
4,0.2,-0.32518902,-0.7955405,-18.631958,-45.581112,2559,1439,131.17209
6,0.3,-0.026251579,-0.07572592,-1.5041046,-4.3387756,1423,1111,131.17209
7,0.35,0.08606565,-0.1178803,4.931198,-6.754043,806,1331,131.33595
8,0.4,-0.03594229,-0.10213782,-2.0593414,-5.8520656,1477,1249,131.33595
9,0.45,-0.03997272,-0.045243915,-2.290268,-2.5922852,1499,953,131.17209
10,0.5,0.05056704,-0.4101231,2.8972778,-23.498322,1002,1439,131.17209
11,0.55,-0.7990216,-0.9734373,-45.780563,-55.773846,2559,1439,131.17209
12,0.6,0.11687016,-0.11704167,6.6961665,-6.705993,636,1326,131.17209
13,0.65,0.13042991,-0.09833909,7.473083,-5.634414,561,1229,131.17209
14,0.7,0.09036559,-0.22552529,5.1775665,-12.921646,783,1439,131.17209
15,0.75,0.07550914,-0.1993251,4.3263545,-11.420486,865,1439,131.17209
16,0.8,0.096225336,-0.12872016,5.513305,-7.3751216,751,1388,131.17209
17,0.85,0.029290512,-0.15056609,1.6782227,-8.626801,1119,1439,131.17209
18,0.9,0.028238032,-0.14640222,1.6179199,-8.388229,1116,1439,138.24837
19,0.95,-0.03720649,-0.077543266,-2.1317747,-4.4429016,1483,1120,131.17209
20,1.0,-0.047051933,-0.13518366,-2.695877,-7.745453,1551,1439,138.05728
21,1.05,0.034167826,-0.016276708,1.9576721,-0.9325866,1092,804,131.17209
22,1.1,0.06947815,-0.0135341855,3.9808044,-0.77545166,898,789,131.17209
23,1.15,0.11119657,-0.05862896,6.3710938,-3.359192,668,1022,131.17209
24,1.2,0.12232618,0.030727288,7.0087733,1.7605438,606,561,131.17209
25,1.25,0.08626991,0.012915267,4.942901,0.73999023,806,653,131.17209
26,1.3,0.09059195,0.047311857,5.190536,2.7107697,782,475,131.17209
27,1.35,0.09250144,0.038945004,5.2999415,2.2313843,745,508,138.05728
28,1.4,0.08689043,0.024424119,4.9784546,1.3993988,777,587,138.24837
29,1.45,0.16295937,0.016733442,9.336884,0.9587555,332,629,138.05728
30,1.5,0.13475329,0.024679516,7.720794,1.414032,497,585,138.24837
31,1.55,0.12862828,0.014789333,7.3698573,0.8473663,534,639,138.05728
32,1.6,0.12510467,-0.011212974,7.1679688,-0.64245605,591,777,131.17209
33,1.65,0.12149021,-0.009208678,6.960876,-0.52761835,576,770,138.05728
34,1.7,0.13430162,0.028790371,7.6949153,1.6495667,539,571,131.17209
35,1.75,0.14094886,0.021769479,8.075774,1.2472992,461,601,138.05728
36,1.8,0.15189287,0.05749046,8.70282,3.2939606,348,390,145.70416
37,1.85,0.15636112,0.058093928,8.958832,3.3285367,371,404,138.05728
38,1.9,0.10649342,0.052811556,6.101623,3.0258791,666,434,137.48875
39,1.95,0.1288384,0.051814195,7.3818965,2.9687345,533,438,138.05728
40,2.0,0.10851077,0.07033542,6.217209,4.0299225,651,337,138.05728
41,2.05,0.11441474,0.06097627,6.555481,3.4936829,617,388,138.05728
42,2.1,0.10964314,0.055007324,6.2820888,3.1516874,647,422,137.48875
43,2.15,0.11046926,0.055783108,6.329422,3.1961365,643,417,137.48875
44,2.2,0.12032961,0.06422959,6.8943787,3.6800845,585,372,137.48875
45,2.25,0.11514737,0.06272437,6.597458,3.5938413,615,380,137.48875
46,2.3,0.13577648,0.029687323,7.7794185,1.7009583,491,558,138.24837
47,2.35,0.12041456,0.047618918,6.8992457,2.7283628,582,461,138.05728
48,2.4,0.15428065,0.067144684,8.839629,3.847107,338,336,145.03629
49,2.45,0.14080985,0.0586745,8.06781,3.361801,466,402,137.48875
50,2.5,0.13973953,0.06703763,8.006485,3.840973,472,356,137.48875
51,2.55,0.13594826,0.057244916,7.789261,3.279892,491,408,138.05728
52,2.6,0.11753968,0.06289428,6.734527,3.6035764,599,377,138.05728
53,2.65,0.09322342,0.055443022,5.3413086,3.176651,711,401,145.70416
54,2.7,0.14583044,0.054874435,8.355468,3.1440732,436,422,137.48875
55,2.75,0.14882411,0.053582534,8.526993,3.0700529,419,429,137.48875
56,2.8,0.13440095,0.06515504,7.700607,3.7331085,503,367,137.48875
57,2.85,0.12858008,0.06729622,7.3670955,3.8557892,537,355,137.48875
58,2.9,0.13288401,0.060064405,7.6136928,3.4414368,512,394,137.48875
59,2.95,0.1064833,0.052991845,6.1010437,3.0362089,663,431,138.05728
60,3.0,0.09631136,0.026520291,5.5182343,1.5195007,722,575,138.05728
61,3.05,0.10651606,0.048973937,6.1029205,2.8059998,663,453,138.05728
62,3.1,0.11145356,0.046006378,6.3858185,2.635971,634,469,138.05728
63,3.15,0.09661097,0.009160209,5.5354004,0.5248413,721,670,138.05728
64,3.2,0.10764178,0.040619332,6.1674194,2.3273163,656,499,138.05728
65,3.25,0.09529483,0.018150508,5.4599915,1.0399475,731,621,137.48875
66,3.3,0.09476699,-0.0025688852,5.429748,-0.14718628,734,733,137.48875
67,3.35,0.0885866,0.004905809,5.075638,0.28108215,770,693,137.48875
68,3.4,0.08775702,0.0013611417,5.0281067,0.07798767,774,712,137.48875
69,3.45,0.12302633,0.044966146,7.0488887,2.5763702,527,462,145.70416
70,3.5,0.102096006,0.04828684,5.84967,2.766632,720,471,130.68416
71,3.55,0.07258686,0.010358898,4.1589203,0.5935211,883,666,130.68416
72,3.6,0.08283523,0.04846767,4.7461085,2.7769928,801,456,138.05728
73,3.65,0.08524459,0.054781225,4.884155,3.138733,787,422,138.05728
74,3.7,0.086050466,0.05461078,4.9303284,3.128967,781,422,138.24837
75,3.75,0.0967617,0.048464738,5.544037,2.7768247,719,456,138.24837
76,3.8,0.08146983,0.052031245,4.6678767,2.9811707,808,436,138.24837
77,3.85,0.08202723,0.057165556,4.699814,3.2753448,806,409,138.05728
78,3.9,0.08127089,0.05233032,4.656479,2.9983063,810,435,138.05728
79,3.95,0.08339609,0.044817008,4.778244,2.5678253,798,476,138.05728
80,4.0,0.07874968,0.039013445,4.512024,2.2353055,825,507,138.05728
81,4.05,0.08063706,0.041971955,4.620163,2.4048157,814,491,138.05728
82,4.1,0.084000364,0.04176822,4.812866,2.3931425,794,492,138.05728
83,4.15,0.07537385,0.046032205,4.3186035,2.637451,844,469,138.05728
84,4.2,0.0732625,0.024028905,4.197632,1.3767548,856,589,138.05728
