Frame,Time,Pitch(rad),Yaw(rad),Pitch(deg),Yaw(deg),ScreenX,ScreenY,Distance(cm)
0,0.0,0.010269682,0.029181855,0.5884094,1.6719971,1221,562,137.48875
1,0.05,-0.025314413,0.011271829,-1.4504089,0.6458282,1425,659,137.48875
2,0.1,0.009770073,0.045999452,0.55978394,2.6355743,1223,470,137.48875
3,0.15,-0.008393485,0.03282133,-0.48091125,1.8805237,1328,542,137.48875
4,0.2,-0.016296417,0.046807718,-0.9337158,2.6818845,1373,466,137.48875
5,0.25,-0.011235877,0.03976073,-0.6437683,2.278122,1344,504,137.48875
6,0.3,0.0009584717,0.07414587,0.054916378,4.2482452,1274,316,138.05728
7,0.35,-0.0078755,0.06620432,-0.4512329,3.7932277,1325,359,138.05728
8,0.4,0.031929437,-0.013676398,1.8294219,-0.78359985,1096,793,137.48875
9,0.45,0.033018403,0.014710237,1.8918151,0.8428345,1090,640,137.48875
10,0.5,0.041973814,0.0361367,2.4049222,2.0704803,1037,523,138.05728
11,0.55,0.027704598,0.052618206,1.5873564,3.014801,1120,435,137.48875
12,0.6,0.10053407,-0.00040400156,5.7601776,-0.023147583,700,722,137.48875
13,0.65,0.101586014,0.0062499065,5.8204494,0.35809323,692,686,138.05728
14,0.7,0.10061316,-0.022327146,5.764709,-1.2792511,697,841,138.05728
15,0.75,0.15229872,-0.016784307,8.726073,-0.96166986,398,810,137.48875
16,0.8,0.14509808,-0.03607225,8.313507,-2.0667875,440,915,137.48875
17,0.85,0.13226111,-0.0045369617,7.578003,-0.25994873,516,744,137.48875
18,0.9,0.10204727,0.008037954,5.8468776,0.4605408,659,674,145.03629
19,0.95,0.08299023,-0.0024101608,4.7549896,-0.13809204,800,733,138.05728
20,1.0,0.09081726,0.0025190841,5.2034454,0.14433289,754,706,138.05728
21,1.05,0.10742659,0.022272281,6.15509,1.2761077,658,599,138.05728
22,1.1,0.061798386,-0.017327858,3.5407865,-0.9928131,924,813,137.48875
23,1.15,0.08282085,0.018216021,4.7452846,1.043701,803,621,137.48875
24,1.2,0.07189976,0.026383137,4.1195526,1.5116423,864,576,138.05728
25,1.25,0.06895377,0.02379135,3.9507596,1.3631439,881,590,138.05728
26,1.3,0.06955271,0.015512115,3.9850767,0.8887787,878,635,138.05728
27,1.35,0.07175435,0.023975907,4.1112213,1.3737181,865,589,138.05728
28,1.4,0.0729802,0.0033593115,4.1814575,0.19247437,858,701,138.05728
29,1.45,0.08252684,0.009948239,4.7284393,0.56999207,778,663,145.03629
30,1.5,0.07903703,-0.019002454,4.528488,-1.0887604,800,828,145.03629
31,1.55,0.08665127,0.004131628,4.964752,0.23672484,753,696,145.03629
32,1.6,0.07792223,0.023083748,4.464615,1.3226013,807,588,145.03629
33,1.65,0.065649316,0.0101293335,3.7614286,0.58036804,902,665,137.48875
34,1.7,0.080681264,0.006276272,4.6226954,0.35960385,815,686,137.48875
35,1.75,0.06314196,0.011247063,3.6177673,0.64440924,916,659,137.48875
36,1.8,0.08686246,0.02616556,4.976852,1.499176,752,570,145.03629
37,1.85,0.08958395,0.026353577,5.132782,1.5099486,735,569,145.03629
38,1.9,0.09117305,0.025744513,5.2238307,1.4750519,726,573,145.03629
39,1.95,0.08376361,0.013251358,4.7993007,0.7592468,771,644,145.03629
40,2.0,0.08504512,0.025284853,4.8727264,1.4487153,763,575,145.03629
41,2.05,0.087443836,0.011353322,5.0101624,0.65049744,749,655,145.03629
42,2.1,0.05208078,0.015912123,2.9840088,0.91169745,979,633,138.05728
