Frame,Time,Pitch(rad),Yaw(rad),Pitch(deg),Yaw(deg),ScreenX,ScreenY,Distance(cm)
0,0.0,0.043686762,0.09516114,2.503067,5.4523315,1029,203,137.48875
1,0.05,0.0042006043,0.07695231,0.24067688,4.4090424,1254,277,145.70416
2,0.1,0.026050244,0.061769627,1.492569,3.5391388,1130,385,137.48875
3,0.15,0.028234834,0.06907814,1.6177367,3.9578857,1117,345,137.48875
4,0.2,0.026758645,0.045952044,1.5331573,2.632858,1126,471,137.48875
5,0.25,0.024589233,0.056117598,1.4088593,3.2153013,1138,416,137.48875
6,0.3,0.023169769,0.05514874,1.3275299,3.1597898,1146,421,137.48875
7,0.35,0.1262903,0.056288578,7.2359014,3.2250977,550,415,137.48875
8,0.4,0.15512541,0.031079091,8.888031,1.7807007,328,541,145.70416
9,0.45,0.14333026,0.05146053,8.212218,2.948471,451,441,137.48875
10,0.5,0.1352529,0.029770946,7.7494197,1.7057495,498,558,137.48875
11,0.55,0.15258102,0.017229853,8.742249,0.9871978,397,626,137.48875
12,0.6,0.14321043,0.05118782,8.205353,2.9328458,402,426,145.70416
13,0.65,0.13099664,0.015116102,7.5055547,0.8660888,520,637,138.05728
14,0.7,0.13369069,-0.000624245,7.6599116,-0.0357666,504,723,138.05728
15,0.75,0.14263518,-0.0014570155,8.172394,-0.083480835,452,727,138.05728
16,0.8,0.14943211,-0.003724431,8.561829,-0.21339417,411,740,138.05728
17,0.85,0.1346156,0.028366394,7.7129054,1.6252745,499,565,138.05728
18,0.9,0.119527996,0.029011946,6.848449,1.662262,587,562,138.05728
19,0.95,0.12852362,0.030950727,7.3638606,1.773346,534,551,138.05728
20,1.0,0.15509878,0.0018804582,8.886505,0.10774231,423,710,131.17209
21,1.05,0.13273248,0.027595676,7.6050105,1.5811157,548,577,131.17209
22,1.1,0.1359581,0.016814133,7.789825,0.9633788,530,633,131.17209
23,1.15,0.13417326,0.014280668,7.687561,0.818222,540,646,131.17209
24,1.2,0.12484074,0.041743454,7.152847,2.3917236,592,504,131.17209
25,1.25,0.14258938,0.018956915,8.169769,1.0861511,493,622,131.17209
26,1.3,0.14184129,0.018436799,8.126907,1.0563507,497,624,131.17209
27,1.35,0.13662283,0.016871126,7.8279114,0.9666443,526,632,131.17209
28,1.4,0.1163394,0.04590225,6.665756,2.630005,639,482,131.17209
29,1.45,0.12806743,0.01825171,7.3377233,1.0457458,537,620,138.05728
30,1.5,0.13160864,0.039491218,7.540619,2.26268,516,505,138.05728
31,1.55,0.13532373,0.032001875,7.7534785,1.8335723,494,546,138.05728
32,1.6,0.133561,0.030334204,7.652481,1.7380219,505,555,138.05728
33,1.65,0.13910277,0.031441014,7.970001,1.8014374,472,549,138.05728
34,1.7,0.1382644,0.044376254,7.921966,2.542572,477,478,138.05728
35,1.75,0.14124234,0.048019193,8.092589,2.751297,460,458,138.05728
36,1.8,0.14833489,-0.00900335,8.498962,-0.5158539,417,768,138.24837
37,1.85,0.14025672,-0.0020575584,8.036118,-0.117889404,464,731,138.24837
38,1.9,0.14179708,-0.025774874,8.124373,-1.4767914,455,860,138.24837
39,1.95,0.14688505,-0.0076139774,8.415894,-0.43624875,425,761,138.24837
40,2.0,0.12502529,-0.013158146,7.1634207,-0.7539062,554,791,138.24837
41,2.05,0.113841355,-0.0012804479,6.522629,-0.07336426,619,726,138.24837
42,2.1,0.12027075,-0.02360839,6.891006,-1.352661,582,848,138.24837
43,2.15,0.14756815,-0.038829688,8.455031,-2.2247772,421,931,138.24837
