Frame,Time,GameX,GameY,Speed_X,Speed_Y
1,0.0,406,300,6,6
2,0.4,412,300,6,6
3,0.45,418,300,6,6
4,0.51,424,300,6,6
5,0.56,430,300,6,6
6,0.61,436,300,6,6
7,0.66,442,300,6,6
8,0.71,448,300,6,6
9,0.76,454,300,6,6
10,0.81,460,300,6,6
11,0.86,466,300,6,6
12,0.91,472,300,6,6
13,0.96,478,300,6,6
14,1.01,484,300,6,6
15,1.06,490,300,6,6
16,1.11,496,300,6,6
17,1.16,502,300,6,6
18,1.21,508,300,6,6
19,1.26,514,300,6,6
20,1.31,520,300,6,6
21,1.36,526,300,6,6
22,1.41,532,300,6,6
23,1.46,538,300,6,6
24,1.52,544,300,6,6
25,1.57,550,300,6,6
26,1.62,556,300,6,6
27,1.67,562,300,6,6
28,1.72,568,300,6,6
29,1.77,574,300,6,6
30,1.82,580,300,6,6
31,1.87,586,300,6,6
32,1.92,592,300,6,6
33,1.97,598,300,6,6
34,2.02,604,300,6,6
35,2.07,610,300,6,6
36,2.12,616,300,6,6
37,2.17,622,300,6,6
38,2.22,628,300,6,6
39,2.27,634,300,6,6
40,2.32,640,300,6,6
41,2.38,646,300,6,6
42,2.43,652,300,6,6
43,2.48,658,300,6,6
44,2.53,664,300,6,6
45,2.58,670,300,6,6
46,2.63,676,300,6,6
47,2.68,682,300,6,6
48,2.73,688,300,6,6
49,2.78,694,300,6,6
50,2.83,700,300,6,6
51,2.88,706,300,6,6
52,2.93,712,300,6,6
53,2.98,718,300,6,6
54,3.03,724,300,6,6
55,3.08,730,300,6,6
56,3.13,736,300,6,6
57,3.18,742,300,6,6
58,3.23,748,300,6,6
59,3.28,754,300,6,6
60,3.33,760,300,6,6
61,3.39,766,300,6,6
62,3.44,772,300,6,6
63,3.49,778,300,6,6
64,3.54,784,300,6,6
65,3.59,790,300,6,6
66,3.64,796,300,6,6
67,3.69,802,300,6,6
68,3.74,808,300,6,6
69,3.79,814,300,6,6
70,3.84,820,300,6,6
71,3.89,826,300,6,6
72,3.94,832,300,6,6
73,3.99,838,300,6,6
74,4.04,844,300,6,6
75,4.09,850,300,6,6
76,4.14,856,300,6,6
77,4.19,862,300,6,6
78,4.24,868,300,6,6
79,4.29,874,300,6,6
80,4.35,880,300,6,6
81,4.4,886,300,6,6
82,4.45,892,300,6,6
83,4.5,898,300,6,6
84,4.55,904,300,6,6
85,4.6,910,300,6,6
86,4.65,916,300,6,6
87,4.7,922,300,6,6
88,4.75,928,300,6,6
89,4.8,934,300,6,6
90,4.85,940,300,6,6
91,4.9,946,300,6,6
92,4.95,952,300,6,6
93,5.0,958,300,6,6
94,5.05,964,300,6,6
95,5.1,970,300,6,6
96,5.16,976,300,6,6
97,5.21,982,300,6,6
98,5.26,988,300,6,6
99,5.31,994,300,6,6
100,5.36,1000,300,6,6
101,5.41,1006,300,6,6
102,5.46,1012,300,6,6
103,5.51,1018,300,6,6
104,5.56,1024,300,6,6
105,5.61,1030,300,6,6
106,5.66,1036,300,6,6
107,5.71,1042,300,6,6
108,5.76,1048,300,6,6
109,5.81,1054,300,6,6
110,5.86,1060,300,6,6
111,5.91,1066,300,6,6
112,5.96,1072,300,6,6
113,6.02,1078,300,6,6
114,6.07,1084,300,6,6
115,6.12,1090,300,6,6
116,6.17,1096,300,6,6
117,6.22,1102,300,6,6
118,6.27,1108,300,6,6
119,6.32,1114,300,6,6
120,6.37,1120,300,6,6
121,6.42,1126,300,6,6
122,6.47,1132,300,6,6
123,6.52,1138,300,6,6
124,6.57,1144,300,6,6
125,6.62,1150,300,6,6
126,6.67,1156,300,6,6
127,6.72,1162,300,6,6
128,6.77,1168,300,6,6
129,6.82,1174,300,6,6
130,6.87,1180,300,6,6
131,6.93,1186,300,6,6
132,6.98,1192,300,6,6
133,7.03,1198,300,6,6
134,7.08,1204,300,6,6
135,7.13,1210,300,6,6
136,7.18,1216,300,6,6
137,7.23,1222,300,6,6
138,7.28,1228,300,6,6
139,7.33,1234,300,6,6
140,7.38,1240,300,6,6
141,7.43,1246,300,6,6
142,7.48,1252,300,6,6
143,7.53,1258,300,6,6
144,7.58,1264,300,6,6
145,7.63,1270,300,6,6
146,7.68,1276,300,6,6
147,7.73,1282,300,6,6
148,7.78,1288,300,6,6
149,7.83,1294,300,6,6
150,7.88,1300,300,6,6
151,7.93,1306,300,6,6
152,7.98,1312,300,6,6
153,8.04,1318,300,6,6
154,8.09,1324,300,6,6
155,8.14,1330,300,6,6
156,8.19,1336,300,6,6
157,8.24,1342,300,6,6
158,8.29,1348,300,6,6
159,8.34,1354,300,6,6
160,8.39,1360,300,6,6
161,8.44,1366,300,6,6
162,8.49,1372,300,6,6
163,8.54,1378,300,6,6
164,8.59,1384,300,6,6
165,8.65,1390,300,6,6
166,8.7,1396,300,6,6
167,8.75,1402,300,6,6
168,8.8,1408,300,6,6
169,8.85,1414,300,6,6
170,8.9,1420,300,6,6
171,8.95,1426,300,6,6
172,9.0,1432,300,6,6
173,9.05,1438,300,6,6
174,9.1,1444,300,6,6
175,9.15,1450,300,6,6
176,9.2,1456,300,6,6
177,9.25,1462,300,6,6
178,9.3,1468,300,6,6
179,9.35,1474,300,6,6
180,9.4,1480,300,6,6
181,9.45,1486,300,6,6
182,9.5,1492,300,6,6
183,9.56,1498,300,6,6
184,9.61,1504,300,6,6
185,9.66,1510,300,6,6
186,9.71,1516,300,6,6
187,9.76,1522,300,6,6
188,9.81,1528,300,6,6
189,9.86,1534,300,6,6
190,9.91,1540,300,6,6
191,9.96,1546,300,6,6
192,10.01,1552,300,6,6
193,10.06,1558,300,6,6
194,10.11,1564,300,6,6
195,10.16,1570,300,6,6
196,10.21,1576,300,6,6
197,10.26,1582,300,6,6
198,10.31,1588,300,6,6
199,10.37,1594,300,6,6
200,10.42,1600,300,6,6
201,10.47,1606,300,6,6
202,10.52,1612,300,6,6
203,10.57,1618,300,6,6
204,10.62,1624,300,6,6
205,10.67,1630,300,6,6
206,10.72,1636,300,6,6
207,10.77,1642,300,6,6
208,10.82,1648,300,6,6
209,10.87,1654,300,6,6
210,10.92,1660,300,6,6
211,10.97,1666,300,6,6
212,11.02,1672,300,6,6
213,11.07,1678,300,6,6
214,11.12,1684,300,6,6
215,11.17,1690,300,6,6
216,11.22,1696,300,6,6
217,11.27,1702,300,6,6
218,11.32,1708,300,6,6
219,11.37,1714,300,6,6
220,11.42,1720,300,6,6
221,11.48,1726,300,6,6
222,11.53,1732,300,6,6
223,11.58,1738,300,6,6
224,11.63,1744,300,6,6
225,11.68,1750,300,6,6
226,11.73,1756,300,6,6
227,11.78,1762,300,6,6
228,11.83,1768,300,6,6
229,11.88,1774,300,6,6
230,11.93,1780,300,6,6
231,11.98,1786,300,6,6
232,12.03,1792,300,6,6
233,12.08,1798,300,6,6
234,12.14,1804,300,6,6
235,12.19,1810,300,6,6
236,12.24,1816,300,6,6
237,12.29,1822,300,6,6
238,12.34,1828,300,6,6
239,12.39,1834,300,6,6
240,12.44,1840,300,6,6
241,12.49,1846,300,6,6
242,12.54,1852,300,6,6
243,12.59,1858,300,6,6
244,12.64,1864,300,6,6
245,12.69,1870,300,6,6
246,12.74,1876,300,6,6
247,12.79,1882,300,6,6
248,12.84,1888,300,6,6
249,12.89,1894,300,6,6
250,12.95,1900,300,6,6
251,13.0,1906,300,6,6
252,13.05,1912,300,6,6
253,13.1,1918,300,6,6
254,13.15,1924,300,6,6
255,13.2,1930,300,6,6
256,13.25,1936,300,6,6
257,13.3,1942,300,6,6
258,13.35,1948,300,6,6
259,13.4,1954,300,6,6
260,13.45,1960,300,6,6
261,13.5,1966,300,6,6
262,13.55,1972,300,6,6
263,13.6,1978,300,6,6
264,13.65,1984,300,6,6
265,13.7,1990,300,6,6
266,13.75,1996,300,6,6
267,13.8,2002,300,6,6
268,13.85,2008,300,6,6
269,13.9,2014,300,6,6
270,13.95,2020,300,6,6
271,14.0,2026,300,6,6
272,14.05,2032,300,6,6
273,14.11,2038,300,6,6
274,14.16,2044,300,6,6
275,14.21,2050,300,6,6
276,14.26,2056,300,6,6
277,14.31,2062,300,6,6
278,14.36,2068,300,6,6
279,14.41,2074,300,6,6
280,14.46,2080,300,6,6
281,14.51,2086,300,6,6
282,14.56,2092,300,6,6
283,14.61,2098,300,6,6
284,14.66,2104,300,6,6
285,14.71,2110,300,6,6
286,14.76,2116,300,6,6
287,14.81,2122,300,6,6
288,14.86,2128,300,6,6
289,14.91,2134,300,6,6
290,14.96,2140,300,6,6
291,15.01,2146,300,6,6
292,15.07,2152,300,6,6
293,15.12,2158,300,6,6
294,15.17,2164,300,6,6
295,15.22,2170,300,6,6
296,15.27,2176,300,6,6
297,15.32,2182,300,6,6
