Frame,Time,GameX,GameY,Speed_X,Speed_Y
1,0.0,637.0,335.0,3,3
2,0.09,634.0,335.0,3,3
3,0.14,631.0,335.0,3,3
4,0.18,628.0,335.0,3,3
5,0.21,625.0,335.0,3,3
6,0.24,622.0,335.0,3,3
7,0.28,619.0,335.0,3,3
8,0.31,616.0,335.0,3,3
9,0.34,613.0,335.0,3,3
10,0.37,610.0,335.0,3,3
11,0.41,607.0,335.0,3,3
12,0.44,604.0,335.0,3,3
13,0.48,601.0,335.0,3,3
14,0.51,598.0,335.0,3,3
15,0.55,595.0,335.0,3,3
16,0.58,592.0,335.0,3,3
17,0.61,589.0,335.0,3,3
18,0.65,586.0,335.0,3,3
19,0.68,583.0,335.0,3,3
20,0.71,580.0,335.0,3,3
21,0.75,577.0,335.0,3,3
22,0.78,574.0,335.0,3,3
23,0.81,571.0,335.0,3,3
24,0.85,568.0,335.0,3,3
25,0.88,565.0,335.0,3,3
26,0.91,562.0,335.0,3,3
27,0.95,559.0,335.0,3,3
28,0.98,556.0,335.0,3,3
29,1.02,553.0,335.0,3,3
30,1.05,550.0,335.0,3,3
31,1.08,547.0,335.0,3,3
32,1.12,544.0,335.0,3,3
33,1.15,541.0,335.0,3,3
34,1.18,538.0,335.0,3,3
35,1.22,535.0,335.0,3,3
36,1.25,532.0,335.0,3,3
37,1.28,529.0,335.0,3,3
38,1.32,526.0,335.0,3,3
39,1.35,523.0,335.0,3,3
40,1.38,520.0,335.0,3,3
41,1.42,517.0,335.0,3,3
42,1.45,514.0,335.0,3,3
43,1.48,511.0,335.0,3,3
44,1.51,508.0,335.0,3,3
45,1.55,505.0,335.0,3,3
46,1.58,502.0,335.0,3,3
47,1.62,499.0,335.0,3,3
48,1.65,496.0,335.0,3,3
49,1.68,493.0,335.0,3,3
50,1.71,490.0,335.0,3,3
51,1.75,487.0,335.0,3,3
52,1.78,484.0,335.0,3,3
53,1.81,481.0,335.0,3,3
54,1.85,478.0,335.0,3,3
55,1.88,475.0,335.0,3,3
56,1.91,472.0,335.0,3,3
57,1.95,469.0,335.0,3,3
58,1.98,466.0,335.0,3,3
59,2.01,463.0,335.0,3,3
60,2.05,460.0,335.0,3,3
61,2.08,457.0,335.0,3,3
62,2.12,454.0,335.0,3,3
63,2.15,451.0,335.0,3,3
64,2.18,448.0,335.0,3,3
65,2.21,445.0,335.0,3,3
66,2.25,442.0,335.0,3,3
67,2.28,439.0,335.0,3,3
68,2.32,436.0,335.0,3,3
69,2.35,433.0,335.0,3,3
70,2.38,430.0,335.0,3,3
71,2.42,427.0,335.0,3,3
72,2.45,424.0,335.0,3,3
73,2.48,421.0,335.0,3,3
74,2.52,418.0,335.0,3,3
75,2.55,415.0,335.0,3,3
76,2.58,412.0,335.0,3,3
77,2.62,409.0,335.0,3,3
78,2.65,406.0,335.0,3,3
79,2.68,403.0,335.0,3,3
80,2.72,400.0,335.0,3,3
81,2.75,397.0,335.0,3,3
82,2.78,394.0,335.0,3,3
83,2.82,391.0,335.0,3,3
84,2.85,388.0,335.0,3,3
85,2.89,385.0,335.0,3,3
86,2.92,382.0,335.0,3,3
87,2.95,379.0,335.0,3,3
88,2.99,376.0,335.0,3,3
89,3.02,373.0,335.0,3,3
90,3.05,370.0,335.0,3,3
91,3.09,367.0,335.0,3,3
92,3.12,364.0,335.0,3,3
93,3.15,361.0,335.0,3,3
94,3.19,358.0,335.0,3,3
95,3.22,355.0,335.0,3,3
96,3.25,352.0,335.0,3,3
97,3.29,349.0,335.0,3,3
98,3.32,346.0,335.0,3,3
99,3.35,343.0,335.0,3,3
100,3.39,340.0,335.0,3,3
101,3.42,337.0,335.0,3,3
102,3.46,334.0,335.0,3,3
103,3.49,331.0,335.0,3,3
104,3.52,328.0,335.0,3,3
105,3.56,325.0,335.0,3,3
106,3.59,322.0,335.0,3,3
107,3.62,319.0,335.0,3,3
108,3.66,316.0,335.0,3,3
109,3.69,313.0,335.0,3,3
110,3.72,310.0,335.0,3,3
111,3.76,307.0,335.0,3,3
112,3.79,304.0,335.0,3,3
113,3.82,301.0,335.0,3,3
114,3.86,298.0,335.0,3,3
115,3.89,295.0,335.0,3,3
116,3.92,292.0,335.0,3,3
117,3.96,289.0,335.0,3,3
118,3.99,286.0,335.0,3,3
119,4.03,283.0,335.0,3,3
120,4.06,280.0,335.0,3,3
121,4.09,277.0,335.0,3,3
122,4.13,274.0,335.0,3,3
123,4.16,271.0,335.0,3,3
124,4.19,268.0,335.0,3,3
125,4.23,265.0,335.0,3,3
126,4.26,262.0,335.0,3,3
127,4.29,259.0,335.0,3,3
128,4.33,256.0,335.0,3,3
129,4.36,253.0,335.0,3,3
130,4.39,250.0,335.0,3,3
131,4.43,247.0,335.0,3,3
132,4.46,244.0,335.0,3,3
133,4.49,241.0,335.0,3,3
134,4.53,238.0,335.0,3,3
135,4.56,235.0,335.0,3,3
136,4.59,232.0,335.0,3,3
137,4.63,229.0,335.0,3,3
138,4.66,226.0,335.0,3,3
139,4.69,223.0,335.0,3,3
140,4.73,220.0,335.0,3,3
141,4.76,217.0,335.0,3,3
142,4.79,214.0,335.0,3,3
143,4.83,211.0,335.0,3,3
144,4.86,208.0,335.0,3,3
145,4.89,205.0,335.0,3,3
146,4.93,202.0,335.0,3,3
147,4.96,199.0,335.0,3,3
148,4.99,196.0,335.0,3,3
149,5.03,193.0,335.0,3,3
150,5.06,190.0,335.0,3,3
151,5.1,187.0,335.0,3,3
152,5.13,184.0,335.0,3,3
153,5.16,181.0,335.0,3,3
154,5.2,178.0,335.0,3,3
155,5.23,175.0,335.0,3,3
156,5.26,172.0,335.0,3,3
157,5.3,169.0,335.0,3,3
158,5.33,166.0,335.0,3,3
159,5.36,163.0,335.0,3,3
160,5.4,160.0,335.0,3,3
161,5.43,157.0,335.0,3,3
162,5.46,154.0,335.0,3,3
163,5.5,151.0,335.0,3,3
164,5.53,148.0,335.0,3,3
165,5.57,145.0,335.0,3,3
166,5.6,142.0,335.0,3,3
167,5.63,139.0,335.0,3,3
168,5.67,136.0,335.0,3,3
169,5.7,133.0,335.0,3,3
170,5.73,130.0,335.0,3,3
171,5.77,127.0,335.0,3,3
172,5.8,124.0,335.0,3,3
173,5.84,121.0,335.0,3,3
174,5.87,118.0,335.0,3,3
175,5.9,115.0,335.0,3,3
176,5.94,112.0,335.0,3,3
177,5.97,109.0,335.0,3,3
178,6.0,106.0,335.0,3,3
179,6.04,103.0,335.0,3,3
180,6.07,100.0,335.0,3,3
181,6.1,97.0,335.0,3,3
182,6.14,94.0,335.0,3,3
183,6.17,91.0,335.0,3,3
184,6.2,88.0,335.0,3,3
185,6.24,85.0,335.0,3,3
186,6.27,82.0,335.0,3,3
