Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,-0.14390498,0.079903886,-8.245148,4.578155,2502,0,202.05531
1,0.03333333333333333,-0.15216078,0.047077496,-8.71817,2.6973417,2559,74,202.05531
2,0.06666666666666667,-0.46437114,-0.031116642,-26.606504,-1.7828522,2559,1228,202.05531
3,0.1,-0.28467754,-0.023220902,-16.31082,-1.3304596,2559,1063,202.05531
4,0.13333333333333333,-0.42827895,-0.005510613,-24.538574,-0.31573483,2559,808,202.05531
5,0.16666666666666666,-0.2449256,-0.041803107,-14.033202,-2.3951414,2559,1324,202.05531
6,0.2,-0.18547505,-0.016397882,-10.626937,-0.9395294,2559,949,202.05531
7,0.23333333333333334,-0.145958,0.048283376,-8.362778,2.7664335,2520,60,202.05531
8,0.26666666666666666,-0.16166455,0.05352395,-9.262695,3.0666962,2559,0,202.05531
9,0.3,-0.1658931,0.052989982,-9.504973,3.036102,2559,0,202.05531
10,0.3333333333333333,-0.16455753,0.031726506,-9.428452,1.8177948,2559,281,202.05531
11,0.36666666666666664,-0.17499179,0.023316508,-10.02629,1.3359374,2559,396,202.05531
12,0.4,-0.13409336,0.04490889,-7.682983,2.5730896,2513,60,218.89325
13,0.43333333333333335,-0.124554984,0.05207945,-7.1364746,2.9839325,2424,0,218.89325
14,0.4666666666666667,-0.12452382,0.04774755,-7.134689,2.7357328,2424,22,218.89325
15,0.5,-0.11053583,0.064496435,-6.333236,3.6953733,2294,0,218.89325
16,0.5333333333333333,-0.10711394,0.064035445,-6.1371765,3.6689606,2262,0,218.89325
17,0.5666666666666667,-0.1060351,0.06352625,-6.075363,3.6397858,2252,0,218.89325
18,0.6,-0.10988123,0.062213045,-6.2957306,3.5645447,2210,0,202.05531
19,0.6333333333333333,-0.118578844,0.06662191,-6.794067,3.817154,2285,0,202.05531
20,0.6666666666666666,-0.12465645,0.06861209,-7.1422877,3.931183,2337,0,202.05531
21,0.7,-0.12243244,0.06483998,-7.0148616,3.7150571,2318,0,202.05531
22,0.7333333333333333,-0.12143509,0.073641196,-6.957718,4.2193294,2309,0,202.05531
23,0.7666666666666667,-0.12152351,0.06834844,-6.962784,3.916077,2310,0,202.05531
24,0.8,-0.12212218,0.037658695,-6.997085,2.157684,2315,212,202.05531
25,0.8333333333333334,-0.123655364,0.036515936,-7.08493,2.0922089,2328,227,202.05531
26,0.8666666666666667,-0.13862021,0.011288873,-7.942353,0.64680475,2457,566,202.05531
27,0.9,-0.14432469,0.015846342,-8.269196,0.90792847,2506,503,202.05531
28,0.9333333333333333,-0.14193398,0.02333009,-8.132217,1.3367157,2485,402,202.05531
29,0.9666666666666667,-0.13587688,0.021060279,-7.7851715,1.206665,2433,434,202.05531
30,1.0,-0.13606197,0.021789452,-7.795776,1.2484436,2435,424,202.05531
31,1.0333333333333334,-0.13707903,0.02829529,-7.8540497,1.6212006,2444,335,202.05531
32,1.0666666666666667,-0.13260385,0.038389467,-7.597641,2.1995542,2405,199,202.05531
33,1.1,-0.12850605,0.027082218,-7.362854,1.5516967,2370,353,202.05531
34,1.1333333333333333,-0.11490182,0.041116543,-6.583389,2.3558042,2253,168,202.05531
35,1.1666666666666667,-0.11141468,0.032964878,-6.3835907,1.8887483,2224,278,202.05531
36,1.2,-0.109154195,0.06444477,-6.254074,3.6924133,2202,0,201.46016
37,1.2333333333333334,-0.09543012,0.056900036,-5.467743,3.2601316,2085,0,201.46016
38,1.2666666666666666,-0.088150896,0.06834603,-5.050674,3.9159389,2023,0,201.46016
39,1.3,-0.08512848,0.07149496,-4.8775024,4.0963593,2060,0,218.89325
40,1.3333333333333333,-0.083968945,0.073229745,-4.8110657,4.195755,2049,0,218.89325
41,1.3666666666666667,-0.08153321,0.084073864,-4.6715083,4.817077,2026,0,218.89325
42,1.4,-0.08160325,0.07713181,-4.675522,4.419327,2027,0,218.89325
43,1.4333333333333333,-0.08435403,0.083468266,-4.8331294,4.782379,2052,0,218.89325
44,1.4666666666666666,-0.083718605,0.08330954,-4.7967224,4.773285,2047,0,218.89325
45,1.5,-0.09055441,0.05774426,-5.188385,3.3085022,2110,0,218.89325
46,1.5333333333333334,-0.09064735,0.055478174,-5.1937103,3.1786652,2110,0,218.89325
47,1.5666666666666667,-0.09252541,0.04634034,-5.301315,2.6551056,2128,55,218.89325
48,1.6,-0.15173735,0.041498978,-8.693909,2.377716,2559,152,201.46016
49,1.6333333333333333,-0.14509381,0.04471341,-8.313263,2.5618896,2509,111,201.46016
50,1.6666666666666667,-0.14388846,0.03904088,-8.244201,2.2368774,2499,188,201.46016
51,1.7,-0.1260714,0.041275002,-7.223358,2.3648832,2346,164,201.46016
52,1.7333333333333334,-0.12343592,0.043689426,-7.072357,2.5032196,2323,132,201.46016
53,1.7666666666666666,-0.13772458,0.05529415,-7.8910365,3.168121,2446,0,201.46016
54,1.8,-0.14320403,0.05442463,-8.204987,3.1183014,2493,0,201.46016
55,1.8333333333333333,-0.14661261,0.060860686,-8.400284,3.4870603,2522,0,201.46016
56,1.8666666666666667,-0.15328065,0.056847036,-8.782333,3.257095,2559,0,201.46016
57,1.9,-0.15088831,0.057241984,-8.645263,3.279724,2559,0,201.46016
58,1.9333333333333333,-0.11076727,0.0020048278,-6.3464966,0.114868164,2215,693,201.46016
59,1.9666666666666666,-0.10857043,0.011974905,-6.220627,0.68611145,2197,560,201.46016
60,2.0,-0.12168676,0.03493162,-6.972137,2.0014343,1279,719,0.0
61,2.033333333333333,-0.12086891,0.026438532,-6.9252777,1.5148163,1279,719,0.0
62,2.066666666666667,-0.12016343,0.025595376,-6.884857,1.466507,1279,719,0.0
63,2.1,-0.11726111,0.027569044,-6.7185664,1.5795898,1279,719,0.0
64,2.1333333333333333,-0.11658388,0.026923228,-6.679764,1.5425873,1279,719,0.0
65,2.1666666666666665,-0.115504764,0.023678433,-6.617935,1.3566742,1279,719,0.0
66,2.2,-0.08675993,0.019353459,-4.970978,1.1088715,2075,443,218.89325
67,2.2333333333333334,-0.08527922,0.010308831,-4.886139,0.59065247,2061,572,218.89325
68,2.2666666666666666,-0.08614421,0.021292506,-4.9356995,1.2199707,2069,416,218.89325
69,2.3,-0.099790774,0.06694841,-5.71759,3.835861,2195,0,218.89325
70,2.3333333333333335,-0.096523084,0.065351844,-5.530365,3.7443845,2165,0,218.89325
